__color__	ticket	summary	component	version	milestone	type	owner	status	created	_changetime	_description	_reporter
3	7	Article Preview	Article Manager	None	None	defect	webmaster	accepted	2009-05-13T22:25:17Z+0000	2009-05-19T16:39:05Z+0000	Unable to preview articles until they have been published and are scheduled or live.	webmaster
3	65	improve useability of calendar	Calendar	None	Freshers 2009	defect	james_hogan	new	2009-06-24T11:38:17Z+0000	2009-06-24T11:38:17Z+0000	"> Just to see what I mean about UI, try getting 3 events onto the music gigs
> box (e.g. from http://www.fibbers.co.uk/fibbers/whatson.cfm), and see how
> many clicks it takes. maybe we should be able to publish events as they are
> created, and have a ""recurring"" or ""advanced"" tick box that hides all the
> complexities of multiple occurrences unless they are needed? That would
> reduce it a bit."	james_hogan
3	59	Trust based organisation event submission	Calendar	None	Freshers 2009	enhancement	james_hogan	new	2009-06-24T10:59:17Z+0000	2009-06-24T11:10:40Z+0000	"organisations with high frequency of events should be able to be made trusted or blocked, either for all cals under some org (e.g. yorker), or specific cals

> *Slight* change to the publishing (as in ""publishing to open calendar"")? I
> wonder whether *any* organisation's events should be publishable to what's
> on, but for some the publishing option is selected by default (i.e. a
> default what's on calendar is preselected when the event is created). Could
> we have trusted and untrusted organisations, and do post-submission
> moderation like with comments for the trusted ones (just thinking that
> places like Fibbers and Careers service have so many events that we'd
> probably trust them to sort it out)."	james_hogan
3	61	calendar subscription to calendar	Calendar	None	Freshers 2009	enhancement	james_hogan	new	2009-06-24T11:13:23Z+0000	2009-06-24T11:13:23Z+0000	"allow organisations to request that their entire calendar is automatically submitted to an open calendar (and vice versa).

basically so a subscription is created between the calendars so all events submitted without moderation automatically"	james_hogan
3	62	calendar event image upload	Calendar	None	Freshers 2009	enhancement	james_hogan	new	2009-06-24T11:16:06Z+0000	2009-06-24T11:16:06Z+0000	"uploading of images for calendar events
thumbnail generation"	james_hogan
3	66	Non what's on calendars	Calendar	None	Freshers 2009	enhancement	james_hogan	new	2009-06-24T12:32:57Z+0000	2009-06-24T12:32:57Z+0000	"calendars don't have to be on what's on page.
creation of what's on calendars adds whatson_calendar row.

should be possible to
 * delete whatson_calendar to remove calendar from whats on page
 * see list of yorker non-whatson calendars
 * add whatson_calendar record for non-whatson calendars
 * modify non-whatson calendars, change openness
 * create and delete actual calendars (not just whatson bit)"	james_hogan
3	60	reading events from ical with caching	Calendar	None	Freshers 2009	functionality	james_hogan	new	2009-06-24T11:07:16Z+0000	2009-06-24T11:09:29Z+0000	"quite complicated, but doable
> Requirement: Import events from iCal into an organisations calendar, and
> allow certain events to be easily published to a default calendar. (I seem
> to remember somewhere that you've done this already? No worries if not and
> if it's complicated.)
i can't remember if I made it read them, possibly. the easiest way is to load them into the yorker calendar, but i designed the db with caching of external calendars in mind so it wouldn't be impossible (though it would be complicated) for it to keep an ical updated.
>
> Usecase: The careers service has a Google calendar
> http://www.york.ac.uk/services/careers/events.cfm (exportable as iCal), and
> they would like to publish the ""special"" events to our ""career"" box.
>"	james_hogan
3	63	exporting of ical calendars	Calendar	None	Freshers 2009	functionality	james_hogan	new	2009-06-24T11:26:45Z+0000	2009-06-24T11:26:45Z+0000	needs a nice interface, polishing, and testing	james_hogan
3	64	calendar feed export	Calendar	None	Freshers 2009	functionality	james_hogan	new	2009-06-24T11:28:33Z+0000	2009-06-24T11:28:33Z+0000	export calendars as rss/atom using new feed lib	james_hogan
3	67	allow organisations to have their own what's on / private calendars pages	Calendar	None	Freshers 2009	functionality	james_hogan	new	2009-06-24T12:41:43Z+0000	2009-06-24T12:41:43Z+0000	"the database does support this quite easily

 * adapt vip area
 * categorise open calendar list by organisation when submitting
 * new tab in directory for it
 * etc"	james_hogan
