__color__,__group__,__style__,ticket,summary,component,status,resolution,version,type,priority,owner,modified,_time,_reporter
3,Freshers 2009,None,59,Trust based organisation event submission,Calendar,new,None,None,enhancement,major,james_hogan,2009-06-24T11:10:40Z+0000,10:59:17Z+0000,james_hogan
3,Freshers 2009,None,60,reading events from ical with caching,Calendar,new,None,None,functionality,major,james_hogan,2009-06-24T11:09:29Z+0000,11:07:16Z+0000,james_hogan
3,Freshers 2009,None,61,calendar subscription to calendar,Calendar,new,None,None,enhancement,major,james_hogan,2009-06-24T11:13:23Z+0000,11:13:23Z+0000,james_hogan
3,Freshers 2009,None,62,calendar event image upload,Calendar,new,None,None,enhancement,major,james_hogan,2009-06-24T11:16:06Z+0000,11:16:06Z+0000,james_hogan
3,Freshers 2009,None,63,exporting of ical calendars,Calendar,new,None,None,functionality,major,james_hogan,2009-06-24T11:26:45Z+0000,11:26:45Z+0000,james_hogan
3,Freshers 2009,None,64,calendar feed export,Calendar,new,None,None,functionality,major,james_hogan,2009-06-24T11:28:33Z+0000,11:28:33Z+0000,james_hogan
3,Freshers 2009,None,65,improve useability of calendar,Calendar,new,None,None,defect,major,james_hogan,2009-06-24T11:38:17Z+0000,11:38:17Z+0000,james_hogan
3,Freshers 2009,None,66,Non what's on calendars,Calendar,new,None,None,enhancement,major,james_hogan,2009-06-24T12:32:57Z+0000,12:32:57Z+0000,james_hogan
3,Freshers 2009,None,67,allow organisations to have their own what's on / private calendars pages,Calendar,new,None,None,functionality,major,james_hogan,2009-06-24T12:41:43Z+0000,12:41:43Z+0000,james_hogan
3,Freshers 2009,color: #777; background: #ddd; border-color: #ccc;,54,what's on page,Calendar,closed,fixed,None,task,major,james_hogan,2009-06-24T10:56:44Z+0000,16:07:46Z+0000,james_hogan
1,,None,57,Contact Bookboon Guy,General,new,None,None,task,blocker,webmater,2009-06-23T14:27:05Z+0000,14:27:05Z+0000,webmaster
2,,None,55,Directors Meeting Minutes,General,new,None,None,task,critical,webmaster,2009-06-23T14:25:34Z+0000,14:25:34Z+0000,webmaster
3,,None,1,Crossword league tables,Crosswords,assigned,None,,enhancement,major,james_hogan,2009-05-13T22:10:04Z+0000,21:56:42Z+0000,james_hogan
3,,None,2,Disallow crossword winning by anybody with access to crossword / office,Crosswords,new,None,,defect,major,james_hogan,2009-05-13T22:10:39Z+0000,22:01:13Z+0000,james_hogan
3,,None,56,Style Guide in Home Tab,General,new,None,None,task,major,webmaster,2009-06-23T14:26:07Z+0000,14:26:07Z+0000,webmaster
3,,None,68,Interface for changing email address,My account,new,None,None,functionality,major,,2009-07-02T15:28:28Z+0000,15:28:28Z+0000,james_hogan
3,,None,69,Set up jabber SRV records in DNS,General,new,None,None,task,major,james_hogan,2009-10-18T11:16:45Z+0000,11:16:45Z+0000,james_hogan
4,,None,58,Photo Stream,Server Admin,new,None,None,task,minor,webmaster,2009-06-23T14:33:40Z+0000,14:33:40Z+0000,webmaster
1,None,None,24,Reporters and Bylines,Permissions,accepted,None,None,task,blocker,webmaster,2009-05-19T16:19:47Z+0000,16:18:09Z+0000,webmaster
1,None,None,26,Section Home Pages,Home Pages,accepted,None,None,enhancement,blocker,webmaster,2009-06-02T02:15:20Z+0000,16:37:34Z+0000,webmaster
2,None,None,28,PHP Session Data on Server,General,reopened,,None,defect,critical,james_hogan,2010-01-31T11:19:06Z+0000,20:49:55Z+0000,james_hogan
2,None,None,37,Office navigation,Office General,new,None,None,defect,critical,webmaster,2009-05-29T14:43:01Z+0000,12:51:54Z+0000,james_hogan
2,None,None,41,Public navigation after redesign,General,assigned,None,None,defect,critical,webmaster,2009-05-29T14:53:27Z+0000,14:52:34Z+0000,james_hogan
2,None,None,49,Adverts,Home Pages,accepted,None,None,enhancement,critical,webmaster,2009-06-04T09:28:04Z+0000,09:19:24Z+0000,webmaster
3,None,None,7,Article Preview,Article Manager,accepted,None,None,defect,major,webmaster,2009-05-19T16:39:05Z+0000,22:25:17Z+0000,webmaster
3,None,None,8,Crossword publishing and expiry safety,Crosswords,new,None,None,defect,major,james_hogan,2009-05-13T22:25:43Z+0000,22:25:43Z+0000,james_hogan
3,None,None,12,Crossword date based navigation,Crosswords,new,None,None,enhancement,major,james_hogan,2009-05-13T22:34:44Z+0000,22:34:44Z+0000,james_hogan
3,None,None,30,Crossword winners shown with time of completion since publication,Crosswords,new,None,None,enhancement,major,james_hogan,2009-05-22T01:44:36Z+0000,01:44:36Z+0000,james_hogan
3,None,None,32,Get crosswords added to facebook app,Facebook App,new,None,None,functionality,major,james_hogan,2009-05-22T02:00:49Z+0000,02:00:49Z+0000,james_hogan
3,None,None,36,crossword selection green in ie6,Crosswords,new,None,None,browser incompatibility,major,james_hogan,2009-05-29T14:55:14Z+0000,11:55:40Z+0000,james_hogan
3,None,None,38,Homepage redesign broken in firefox 2,Home Pages,new,None,None,browser incompatibility,major,webmaster,2009-05-29T14:55:42Z+0000,13:46:49Z+0000,james_hogan
3,None,None,40,Gamezone should link to crosswords section,Gamezone,new,None,None,enhancement,major,james_hogan,2009-05-29T14:40:35Z+0000,14:40:35Z+0000,james_hogan
3,None,None,43,Dev access for Ting Chen,Gatekeeping,assigned,None,None,task,major,ado,2009-05-31T23:03:02Z+0000,22:37:56Z+0000,james_hogan
3,None,None,44,Create anonymised database for tags CS project,Gatekeeping,new,None,None,task,major,james_hogan,2009-05-31T22:46:03Z+0000,22:46:03Z+0000,james_hogan
3,None,None,51,Google apps chat doesn't work with outside servers,Gatekeeping,new,None,None,defect,major,webmaster,2009-06-03T08:48:45Z+0000,08:48:45Z+0000,james_hogan
3,None,None,53,Inserting photos from Gallery in IE,Gallery,new,None,None,defect,major,webmaster,2009-06-13T21:10:32Z+0000,21:10:32Z+0000,webmaster
4,None,None,3,More detailed crossword statistics,Crosswords,new,None,None,enhancement,minor,james_hogan,2009-05-23T09:09:33Z+0000,22:11:59Z+0000,james_hogan
4,None,None,5,Dynamic crossword layouts,Crosswords,new,None,None,functionality,minor,james_hogan,2009-05-13T22:15:45Z+0000,22:15:45Z+0000,james_hogan
4,None,None,6,Crossword grid slide down with scroll if clues are tall,Crosswords,new,None,None,enhancement,minor,james_hogan,2009-05-13T22:20:36Z+0000,22:20:36Z+0000,james_hogan
4,None,None,9,Crossword category blurb,Crosswords,new,None,None,enhancement,minor,james_hogan,2009-05-13T22:27:05Z+0000,22:27:05Z+0000,james_hogan
4,None,None,10,Crossword archive pagination,Crosswords,new,None,None,enhancement,minor,james_hogan,2009-05-13T22:28:06Z+0000,22:28:06Z+0000,james_hogan
4,None,None,11,Show info about how much of each crossword the user has done,Crosswords,new,None,None,enhancement,minor,james_hogan,2009-05-13T22:32:37Z+0000,22:32:37Z+0000,james_hogan
4,None,None,13,Store default pages data in XML in repository,Pages System,new,None,None,functionality,minor,james_hogan,2009-05-13T22:38:42Z+0000,22:38:42Z+0000,james_hogan
4,None,None,14,Abstract feeds under general interface,Feeds,new,None,None,refactor,minor,,2009-05-13T22:42:22Z+0000,22:42:22Z+0000,james_hogan
4,None,None,15,Atom feed backend,Feeds,new,None,None,functionality,minor,,2009-05-13T22:44:19Z+0000,22:44:19Z+0000,james_hogan
4,None,None,16,Git branch autopushing to *.dev.theyorker.co.uk,Gatekeeping,new,None,None,functionality,minor,,2009-05-13T22:48:28Z+0000,22:48:28Z+0000,james_hogan
4,None,None,17,Filter to show only expired crosswords (inc feed),Crosswords,new,None,None,functionality,minor,james_hogan,2009-05-13T22:57:29Z+0000,22:57:29Z+0000,james_hogan
4,None,None,31,Investigate difficulty of having crosswords as facebook app,Crosswords,new,None,None,task,minor,james_hogan,2009-05-22T01:55:14Z+0000,01:55:14Z+0000,james_hogan
4,None,None,34,Crossword office permit writer/editor workflow,Crosswords,new,None,None,functionality,minor,james_hogan,2009-05-22T02:40:22Z+0000,02:40:22Z+0000,james_hogan
4,None,None,35,Calendar is broken everytime database is copied,Calendar,accepted,None,None,defect,minor,james_hogan,2009-05-25T14:29:32Z+0000,14:19:06Z+0000,james_hogan
5,None,None,20,Recruitment,General,accepted,None,None,task,trivial,webmaster,2009-05-14T02:34:45Z+0000,02:34:42Z+0000,webmaster
5,None,None,29,Missing Images,General,new,None,None,defect,trivial,webmaster,2009-05-20T00:26:02Z+0000,00:26:02Z+0000,webmaster
5,None,None,33,Facebook app icon doesn't match new favicon,Facebook App,new,None,None,defect,trivial,webmaster,2009-05-22T02:02:31Z+0000,02:02:31Z+0000,james_hogan
5,None,None,39,Facebook style IRC chat bar for office users,IRC Client,new,None,None,functionality,trivial,james_hogan,2009-05-29T13:49:57Z+0000,13:49:57Z+0000,james_hogan
5,None,None,46,Office Access,Gatekeeping,accepted,None,None,task,trivial,webmaster,2009-06-02T02:31:20Z+0000,02:27:47Z+0000,webmaster
4,None,color: #777; background: #ddd; border-color: #ccc;,25,Reporter list in article manager,Article Manager,closed,fixed,None,enhancement,minor,webmaster,2009-06-10T16:09:42Z+0000,16:21:28Z+0000,webmaster
4,None,color: #777; background: #ddd; border-color: #ccc;,52,Tabs in Wikiparser,Wikiparser,closed,worksforme,None,enhancement,minor,james_hogan,2009-06-08T00:39:02Z+0000,22:53:22Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,19,Roses Photos,General,closed,fixed,None,task,trivial,webmaster,2009-06-04T12:01:45Z+0000,01:52:53Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,47,Article Byline Changes,Gatekeeping,closed,fixed,None,task,trivial,webmaster,2009-06-03T14:22:56Z+0000,02:36:50Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,45,Office Access,Gatekeeping,closed,fixed,None,task,trivial,webmaster,2009-06-03T14:01:23Z+0000,02:25:51Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,48,Office Access,Gatekeeping,closed,fixed,None,task,trivial,webmaster,2009-06-03T13:56:14Z+0000,02:38:55Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,50,Office Access,Gatekeeping,closed,fixed,None,task,trivial,webmaster,2009-06-03T13:53:19Z+0000,14:50:08Z+0000,webmaster
5,None,color: #777; background: #ddd; border-color: #ccc;,18,Dev mailing list,Gatekeeping,closed,fixed,None,task,trivial,webmaster,2009-06-02T02:16:47Z+0000,23:21:16Z+0000,james_hogan
2,None,color: #777; background: #ddd; border-color: #ccc;,42,Calendar: Unknown column 'organisation_event_submission_text' in 'field list',Calendar,closed,fixed,None,defect,critical,james_hogan,2009-05-29T15:23:34Z+0000,15:09:09Z+0000,james_hogan
4,None,color: #777; background: #ddd; border-color: #ccc;,27,Apache Config,General,closed,fixed,None,defect,minor,ado,2009-05-22T01:22:17Z+0000,20:47:50Z+0000,webmaster
4,None,color: #777; background: #ddd; border-color: #ccc;,22,Permissions on external accounts,Permissions,closed,fixed,None,defect,minor,james_hogan,2009-05-21T22:52:57Z+0000,23:20:21Z+0000,webmaster
4,None,color: #777; background: #ddd; border-color: #ccc;,4,New office login and global byline,General,closed,fixed,None,task,minor,webmaster,2009-05-21T12:39:51Z+0000,22:13:47Z+0000,webmaster
1,None,color: #777; background: #ddd; border-color: #ccc;,21,SSL Certificate,General,closed,fixed,None,task,blocker,webmaster,2009-05-16T22:16:59Z+0000,02:38:56Z+0000,webmaster
3,None,color: #777; background: #ddd; border-color: #ccc;,23,Crossword comments don't show on latest comments feed and homepage box,Crosswords,closed,fixed,None,enhancement,major,james_hogan,2009-05-16T16:07:15Z+0000,11:03:34Z+0000,james_hogan
